"Region","Region_name","sub_region","Sub_region_name","SSP","RCP","Year","UHI_cat","Heat_wave_days","HI_cat","Population","Sensitive_pop"
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",181834415,91272047.56
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",1236477120,635362006.6
142,"Asia",34,"Southern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">55""",2372542,1229399.06
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,"""<=28""",19712,9641.05241
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",6141631,3285908.12
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",242036479,128755959.6
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",176136808,96717550.94
142,"Asia",35,"South-Eastern Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">55""",469409,293887.4519
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2100,"With UHI",15,"""<=28""",8991716,3641323.603
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">28 & <=34""",95054605,47808021.67
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">34 & <=42""",133701506,64354273.7
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">42 & <=55""",69115299,35896653.65
142,"Asia",145,"Western Asia","SSP 1","RCP 2.6",2100,"With UHI",15,""">55""",168492,89172.84955
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2010,"With UHI",15,"""<=28""",4895990,807814.7113
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",18235797,2809292.054
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",2353733,338645.2572
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",0,0
142,"Asia",143,"Central Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,"""<=28""",35060512,5323035.394
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",131330027,19447907.9
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",359222616,59621565.95
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",253913268,36347172.76
142,"Asia",30,"Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,"""<=28""",5500997,940844.1815
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",34545086,4997134.204
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",140850120,21315506.55
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">42 & <=55""",360051800,55789604.99
142,"Asia",34,"Southern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">55""",0,0
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,"""<=28""",0,0
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">28 & <=34""",14815835,2188131.893
142,"Asia",35,"South-Eastern Asia","SSP 2","RCP 2.6",2010,"With UHI",15,""">34 & <=42""",176353122,26096876.01
